term	year	count	count_PMC	count_sum	count_sum_PMC
metabolic engineering	2005	0	0	0	0
metabolic engineering	2006	0	0	0	0
metabolic engineering	2007	1	0	1	0
metabolic engineering	2008	3	1	4	1
metabolic engineering	2009	2	0	6	1
metabolic engineering	2010	8	6	14	7
metabolic engineering	2011	10	2	24	9
metabolic engineering	2012	10	6	34	15
metabolic engineering	2013	16	9	50	24
metabolic engineering	2014	14	12	64	36
metabolic engineering	2015	11	15	75	51
metabolic engineering	2016	16	15	91	66
metabolic engineering	2017	11	25	102	91
metabolic engineering	2018	7	19	109	110
metabolic engineering	2019	15	29	124	139
metabolic engineering	2020	19	31	143	170
metabolic engineering	2021	20	30	163	200
metabolic engineering	2022	23	24	186	224
metabolic engineering	2023	13	22	199	246
immunology	1999	0	0	0	0
immunology	2000	0	0	0	0
immunology	2001	0	1	0	1
immunology	2002	0	0	0	1
immunology	2003	1	3	1	4
immunology	2004	0	2	1	6
immunology	2005	0	2	1	8
immunology	2006	1	0	2	8
immunology	2007	1	18	3	26
immunology	2008	1	9	4	35
immunology	2009	1	4	5	39
immunology	2010	2	7	7	46
immunology	2011	4	10	11	56
immunology	2012	6	18	17	74
immunology	2013	9	28	26	102
immunology	2014	12	32	38	134
immunology	2015	11	41	49	175
immunology	2016	11	40	60	215
immunology	2017	24	36	84	251
immunology	2018	28	53	112	304
immunology	2019	26	64	138	368
immunology	2020	35	96	173	464
immunology	2021	35	104	208	568
immunology	2022	42	106	250	674
immunology	2023	41	82	291	756
toxicology	1999	0	0	0	0
toxicology	2000	0	0	0	0
toxicology	2001	0	0	0	0
toxicology	2002	1	0	1	0
toxicology	2003	2	0	3	0
toxicology	2004	3	0	6	0
toxicology	2005	2	9	8	9
toxicology	2006	3	11	11	20
toxicology	2007	3	0	14	20
toxicology	2008	4	7	18	27
toxicology	2009	2	6	20	33
toxicology	2010	6	4	26	37
toxicology	2011	3	7	29	44
toxicology	2012	7	6	36	50
toxicology	2013	15	14	51	64
toxicology	2014	20	25	71	89
toxicology	2015	26	15	97	104
toxicology	2016	33	25	130	129
toxicology	2017	23	29	153	158
toxicology	2018	28	35	181	193
toxicology	2019	24	34	205	227
toxicology	2020	26	30	231	257
toxicology	2021	11	44	242	301
toxicology	2022	16	39	258	340
toxicology	2023	11	25	269	365
vaccinology	1999	0	0	0	0
vaccinology	2000	0	0	0	0
vaccinology	2001	0	0	0	0
vaccinology	2002	0	0	0	0
vaccinology	2003	0	0	0	0
vaccinology	2004	0	0	0	0
vaccinology	2005	0	0	0	0
vaccinology	2006	0	0	0	0
vaccinology	2007	0	0	0	0
vaccinology	2008	0	0	0	0
vaccinology	2009	1	0	1	0
vaccinology	2010	1	1	2	1
vaccinology	2011	4	3	6	4
vaccinology	2012	0	7	6	11
vaccinology	2013	6	16	12	27
vaccinology	2014	8	21	20	48
vaccinology	2015	11	17	31	65
vaccinology	2016	8	18	39	83
vaccinology	2017	6	20	45	103
vaccinology	2018	11	36	56	139
vaccinology	2019	15	25	71	164
vaccinology	2020	13	58	84	222
vaccinology	2021	8	39	92	261
vaccinology	2022	11	46	103	307
vaccinology	2023	6	29	109	336
chemistry	1999	0	0	0	0
chemistry	2000	0	0	0	0
chemistry	2001	0	0	0	0
chemistry	2002	0	0	0	0
chemistry	2003	0	0	0	0
chemistry	2004	0	1	0	1
chemistry	2005	1	0	1	1
chemistry	2006	1	2	2	3
chemistry	2007	1	1	3	4
chemistry	2008	5	5	8	9
chemistry	2009	8	4	16	13
chemistry	2010	6	14	22	27
chemistry	2011	3	8	25	35
chemistry	2012	8	5	33	40
chemistry	2013	9	14	42	54
chemistry	2014	14	11	56	65
chemistry	2015	17	18	73	83
chemistry	2016	9	17	82	100
chemistry	2017	26	31	108	131
chemistry	2018	19	25	127	156
chemistry	2019	31	36	158	192
chemistry	2020	23	41	181	233
chemistry	2021	20	50	201	283
chemistry	2022	29	59	230	342
chemistry	2023	9	25	239	367
physiology	1999	0	0	0	0
physiology	2000	1	0	1	0
physiology	2001	0	0	1	0
physiology	2002	3	1	4	1
physiology	2003	3	1	7	2
physiology	2004	1	0	8	2
physiology	2005	2	1	10	3
physiology	2006	3	11	13	14
physiology	2007	0	4	13	18
physiology	2008	13	16	26	34
physiology	2009	3	15	29	49
physiology	2010	13	23	42	72
physiology	2011	5	24	47	96
physiology	2012	6	26	53	122
physiology	2013	5	15	58	137
physiology	2014	6	24	64	161
physiology	2015	1	20	65	181
physiology	2016	3	23	68	204
physiology	2017	10	34	78	238
physiology	2018	6	30	84	268
physiology	2019	3	30	87	298
physiology	2020	8	31	95	329
physiology	2021	8	32	103	361
physiology	2022	7	34	110	395
physiology	2023	4	36	114	431
pathology	1999	0	0	0	0
pathology	2000	0	0	0	0
pathology	2001	1	0	1	0
pathology	2002	0	0	1	0
pathology	2003	2	2	3	2
pathology	2004	0	2	3	4
pathology	2005	1	4	4	8
pathology	2006	2	1	6	9
pathology	2007	5	3	11	12
pathology	2008	8	5	19	17
pathology	2009	8	5	27	22
pathology	2010	4	11	31	33
pathology	2011	6	6	37	39
pathology	2012	1	3	38	42
pathology	2013	4	6	42	48
pathology	2014	2	6	44	54
pathology	2015	2	6	46	60
pathology	2016	3	6	49	66
pathology	2017	2	8	51	74
pathology	2018	1	7	52	81
pathology	2019	3	13	55	94
pathology	2020	5	23	60	117
pathology	2021	3	11	63	128
pathology	2022	4	18	67	146
pathology	2023	4	14	71	160
biotechnology	1999	0	0	0	0
biotechnology	2000	0	0	0	0
biotechnology	2001	0	0	0	0
biotechnology	2002	0	0	0	0
biotechnology	2003	0	1	0	1
biotechnology	2004	0	3	0	4
biotechnology	2005	2	1	2	5
biotechnology	2006	0	1	2	6
biotechnology	2007	3	3	5	9
biotechnology	2008	1	3	6	12
biotechnology	2009	2	4	8	16
biotechnology	2010	1	2	9	18
biotechnology	2011	5	6	14	24
biotechnology	2012	4	2	18	26
biotechnology	2013	3	5	21	31
biotechnology	2014	1	5	22	36
biotechnology	2015	6	6	28	42
biotechnology	2016	2	6	30	48
biotechnology	2017	7	57	37	105
biotechnology	2018	6	60	43	165
biotechnology	2019	5	36	48	201
biotechnology	2020	3	55	51	256
biotechnology	2021	1	69	52	325
biotechnology	2022	4	99	56	424
biotechnology	2023	1	62	57	486
microbiology	1999	0	0	0	0
microbiology	2000	0	0	0	0
microbiology	2001	0	0	0	0
microbiology	2002	0	0	0	0
microbiology	2003	0	6	0	6
microbiology	2004	2	0	2	6
microbiology	2005	0	0	2	6
microbiology	2006	0	0	2	6
microbiology	2007	0	1	2	7
microbiology	2008	1	3	3	10
microbiology	2009	1	2	4	12
microbiology	2010	3	3	7	15
microbiology	2011	2	7	9	22
microbiology	2012	1	5	10	27
microbiology	2013	1	4	11	31
microbiology	2014	2	7	13	38
microbiology	2015	4	0	17	38
microbiology	2016	2	3	19	41
microbiology	2017	2	7	21	48
microbiology	2018	4	10	25	58
microbiology	2019	1	4	26	62
microbiology	2020	1	4	27	66
microbiology	2021	2	14	29	80
microbiology	2022	4	14	33	94
microbiology	2023	1	9	34	103
biomedicine	1999	0	0	0	0
biomedicine	2000	0	0	0	0
biomedicine	2001	0	0	0	0
biomedicine	2002	0	0	0	0
biomedicine	2003	0	0	0	0
biomedicine	2004	0	0	0	0
biomedicine	2005	0	1	0	1
biomedicine	2006	0	2	0	3
biomedicine	2007	1	1	1	4
biomedicine	2008	1	10	2	14
biomedicine	2009	0	2	2	16
biomedicine	2010	1	10	3	26
biomedicine	2011	2	10	5	36
biomedicine	2012	2	15	7	51
biomedicine	2013	5	32	12	83
biomedicine	2014	4	40	16	123
biomedicine	2015	5	35	21	158
biomedicine	2016	3	44	24	202
biomedicine	2017	2	64	26	266
biomedicine	2018	4	53	30	319
biomedicine	2019	4	60	34	379
biomedicine	2020	3	77	37	456
biomedicine	2021	6	93	43	549
biomedicine	2022	3	64	46	613
biomedicine	2023	2	39	48	652
biochemistry	1999	0	0	0	0
biochemistry	2000	0	0	0	0
biochemistry	2001	0	0	0	0
biochemistry	2002	0	0	0	0
biochemistry	2003	0	28	0	28
biochemistry	2004	0	23	0	51
biochemistry	2005	0	15	0	66
biochemistry	2006	0	104	0	170
biochemistry	2007	0	7	0	177
biochemistry	2008	0	24	0	201
biochemistry	2009	0	7	0	208
biochemistry	2010	2	0	2	208
biochemistry	2011	1	3	3	211
biochemistry	2012	0	3	3	214
biochemistry	2013	0	3	3	217
biochemistry	2014	2	3	5	220
biochemistry	2015	1	7	6	227
biochemistry	2016	1	5	7	232
biochemistry	2017	4	9	11	241
biochemistry	2018	1	9	12	250
biochemistry	2019	1	9	13	259
biochemistry	2020	1	14	14	273
biochemistry	2021	0	13	14	286
biochemistry	2022	4	20	18	306
biochemistry	2023	0	6	18	312
glycobiology	1999	0	0	0	0
glycobiology	2000	0	0	0	0
glycobiology	2001	0	0	0	0
glycobiology	2002	0	0	0	0
glycobiology	2003	0	0	0	0
glycobiology	2004	0	0	0	0
glycobiology	2005	0	1	0	1
glycobiology	2006	2	0	2	1
glycobiology	2007	0	0	2	1
glycobiology	2008	0	0	2	1
glycobiology	2009	1	1	3	2
glycobiology	2010	1	1	4	3
glycobiology	2011	3	5	7	8
glycobiology	2012	2	1	9	9
glycobiology	2013	1	2	10	11
glycobiology	2014	3	7	13	18
glycobiology	2015	1	3	14	21
glycobiology	2016	2	3	16	24
glycobiology	2017	0	2	16	26
glycobiology	2018	2	2	18	28
glycobiology	2019	2	1	20	29
glycobiology	2020	3	3	23	32
glycobiology	2021	3	4	26	36
glycobiology	2022	2	2	28	38
glycobiology	2023	1	2	29	40
epidemiology	1999	0	0	0	0
epidemiology	2000	0	0	0	0
epidemiology	2001	0	0	0	0
epidemiology	2002	0	0	0	0
epidemiology	2003	1	1	1	1
epidemiology	2004	0	3	1	4
epidemiology	2005	0	1	1	5
epidemiology	2006	0	4	1	9
epidemiology	2007	1	4	2	13
epidemiology	2008	1	7	3	20
epidemiology	2009	4	2	7	22
epidemiology	2010	1	6	8	28
epidemiology	2011	3	5	11	33
epidemiology	2012	3	7	14	40
epidemiology	2013	2	7	16	47
epidemiology	2014	0	8	16	55
epidemiology	2015	8	15	24	70
epidemiology	2016	2	15	26	85
epidemiology	2017	1	7	27	92
epidemiology	2018	1	9	28	101
epidemiology	2019	6	8	34	109
epidemiology	2020	2	15	36	124
epidemiology	2021	6	22	42	146
epidemiology	2022	3	24	45	170
epidemiology	2023	5	13	50	183
genomics	1999	0	0	0	0
genomics	2000	0	0	0	0
genomics	2001	0	0	0	0
genomics	2002	0	0	0	0
genomics	2003	0	0	0	0
genomics	2004	0	0	0	0
genomics	2005	1	0	1	0
genomics	2006	0	4	1	4
genomics	2007	0	8	1	12
genomics	2008	2	20	3	32
genomics	2009	2	30	5	62
genomics	2010	0	26	5	88
genomics	2011	0	13	5	101
genomics	2012	2	13	7	114
genomics	2013	1	11	8	125
genomics	2014	5	23	13	148
genomics	2015	6	16	19	164
genomics	2016	5	24	24	188
genomics	2017	5	24	29	212
genomics	2018	7	21	36	233
genomics	2019	4	22	40	255
genomics	2020	5	34	45	289
genomics	2021	3	17	48	306
genomics	2022	6	41	54	347
genomics	2023	3	17	57	364
oncology	1999	0	0	0	0
oncology	2000	0	0	0	0
oncology	2001	0	0	0	0
oncology	2002	0	0	0	0
oncology	2003	0	1	0	1
oncology	2004	0	0	0	1
oncology	2005	0	0	0	1
oncology	2006	0	0	0	1
oncology	2007	0	0	0	1
oncology	2008	0	0	0	1
oncology	2009	0	0	0	1
oncology	2010	1	1	1	2
oncology	2011	1	2	2	4
oncology	2012	0	1	2	5
oncology	2013	0	1	2	6
oncology	2014	3	4	5	10
oncology	2015	3	6	8	16
oncology	2016	1	4	9	20
oncology	2017	0	4	9	24
oncology	2018	2	5	11	29
oncology	2019	2	13	13	42
oncology	2020	0	5	13	47
oncology	2021	3	24	16	71
oncology	2022	2	23	18	94
oncology	2023	1	9	19	103
serology	1999	0	0	0	0
serology	2000	0	0	0	0
serology	2001	0	0	0	0
serology	2002	0	0	0	0
serology	2003	0	0	0	0
serology	2004	0	0	0	0
serology	2005	0	0	0	0
serology	2006	0	0	0	0
serology	2007	0	0	0	0
serology	2008	0	0	0	0
serology	2009	0	0	0	0
serology	2010	0	1	0	1
serology	2011	0	0	0	1
serology	2012	0	0	0	1
serology	2013	0	0	0	1
serology	2014	0	0	0	1
serology	2015	1	1	1	2
serology	2016	0	2	1	4
serology	2017	7	12	8	16
serology	2018	5	18	13	34
serology	2019	7	16	20	50
serology	2020	6	43	26	93
serology	2021	18	66	44	159
serology	2022	14	55	58	214
serology	2023	14	30	72	244
neurobiology	1999	1	0	1	0
neurobiology	2000	0	0	1	0
neurobiology	2001	1	0	2	0
neurobiology	2002	0	0	2	0
neurobiology	2003	1	0	3	0
neurobiology	2004	3	2	6	2
neurobiology	2005	3	0	9	2
neurobiology	2006	1	6	10	8
neurobiology	2007	0	4	10	12
neurobiology	2008	1	2	11	14
neurobiology	2009	1	8	12	22
neurobiology	2010	1	10	13	32
neurobiology	2011	0	2	13	34
neurobiology	2012	1	4	14	38
neurobiology	2013	1	9	15	47
neurobiology	2014	0	4	15	51
neurobiology	2015	1	5	16	56
neurobiology	2016	0	7	16	63
neurobiology	2017	0	9	16	72
neurobiology	2018	0	10	16	82
neurobiology	2019	2	15	18	97
neurobiology	2020	0	6	18	103
neurobiology	2021	2	9	20	112
neurobiology	2022	3	5	23	117
neurobiology	2023	1	4	24	121
biocatalysis	1999	1	0	1	0
biocatalysis	2000	0	0	1	0
biocatalysis	2001	0	0	1	0
biocatalysis	2002	0	0	1	0
biocatalysis	2003	0	0	1	0
biocatalysis	2004	0	0	1	0
biocatalysis	2005	0	0	1	0
biocatalysis	2006	0	0	1	0
biocatalysis	2007	0	1	1	1
biocatalysis	2008	0	0	1	1
biocatalysis	2009	0	0	1	1
biocatalysis	2010	0	0	1	1
biocatalysis	2011	0	0	1	1
biocatalysis	2012	0	0	1	1
biocatalysis	2013	0	1	1	2
biocatalysis	2014	2	1	3	3
biocatalysis	2015	0	4	3	7
biocatalysis	2016	0	6	3	13
biocatalysis	2017	2	5	5	18
biocatalysis	2018	2	8	7	26
biocatalysis	2019	1	4	8	30
biocatalysis	2020	1	1	9	31
biocatalysis	2021	0	3	9	34
biocatalysis	2022	4	9	13	43
biocatalysis	2023	0	2	13	45
virology	1999	0	0	0	0
virology	2000	0	0	0	0
virology	2001	0	0	0	0
virology	2002	0	0	0	0
virology	2003	0	48	0	48
virology	2004	0	31	0	79
virology	2005	0	2	0	81
virology	2006	0	17	0	98
virology	2007	0	4	0	102
virology	2008	0	3	0	105
virology	2009	0	1	0	106
virology	2010	0	1	0	107
virology	2011	2	4	2	111
virology	2012	0	5	2	116
virology	2013	2	7	4	123
virology	2014	2	7	6	130
virology	2015	1	4	7	134
virology	2016	2	5	9	139
virology	2017	1	5	10	144
virology	2018	1	2	11	146
virology	2019	3	3	14	149
virology	2020	4	20	18	169
virology	2021	2	5	20	174
virology	2022	2	5	22	179
virology	2023	1	1	23	180
